"","actv_ace","actv_cello","actv_gluco","actv_phos","Decom","PH","WSA","dissim","P","C","L","N","A","I","SU","FU","H","M","S","D","remark","Lv"
"170",0.38802,0.3338625,0.96222,1.170585,0.65496,5.62,0.447098976,0,0,0,0,0,0,0,1,0,0,0,0,0,"1",1
"171",0.7779975,0.30972,1.32675,0.97962,0.67666,6.28,0.402515723,0,0,0,0,0,0,0,0,0,0,0,0,1,"1",1
"172",0.3399525,0.268395,0.97614,1.326315,0.69319,5.64,0.503333333,0,0,0,0,0,0,0,0,0,1,0,0,0,"1",1
"173",0.1650825,0.1328925,0.76038,1.167975,0.6752,5.78,0.62987013,0,0,0,1,0,0,0,0,0,0,0,0,0,"1",1
"174",0.261,0.0415425,0.95526,1.021815,0.68906,5.69,0.645051195,0,0,0,0,0,0,0,0,1,0,0,0,0,"1",1
"175",0.3016725,0.2429475,0.420645,1.14231,0.6762,5.73,0.541254125,0,0,0,0,0,0,1,0,0,0,0,0,0,"1",1
"176",0.0045675,0.003045,0.02001,0.029145,0.65311,5.43,0.62745098,0,0,0,1,0,0,0,0,0,0,0,0,0,"1",1
"177",0.5935575,0.312765,1.215825,1.670835,0.63243,6.38,0.460750853,0,0,0,0,0,0,0,0,0,0,0,1,0,"1",1
"178",0.374535,0.2220675,1.3224,1.426365,0.75702,5.84,0.549206349,0,0,0,0,0,0,0,0,0,1,0,0,0,"1",1
"179",0.3393,0.17574,1.123605,1.41723,0.65611,5.82,0.675767918,0,0,0,0,0,0,1,0,0,0,0,0,0,"1",1
"180",0.3334275,0.3886725,1.26237,1.37721,0.64178,5.75,0.449180328,0,0,0,0,1,0,0,0,0,0,0,0,0,"1",1
"181",0.40194,0.3608325,1.167975,1.24149,0.69431,5.91,0.533333333,0,0,0,0,0,0,0,0,1,0,0,0,0,"1",1
"182",0.3973725,0.41238,1.0266,1.277595,0.65002,5.47,0.610561056,0,0,0,0,0,1,0,0,0,0,0,0,0,"1",1
"183",0.338865,0.29928,1.10142,1.410705,0.66589,5.73,0.521311475,0,1,0,0,0,0,0,0,0,0,0,0,0,"1",1
"184",0.358875,0.3269025,1.224525,1.248015,0.65863,5.62,0.665634675,0,0,1,0,0,0,0,0,0,0,0,0,0,"1",1
"185",0.3577875,0.34104,1.058355,1.24584,0.70275,5.59,0.638554217,0,0,0,0,1,0,0,0,0,0,0,0,0,"1",1
"186",0.3834525,0.2503425,1.12665,1.636905,0.65278,5.47,0.670926518,0,0,0,1,0,0,0,0,0,0,0,0,0,"1",1
"187",0.22011,0.1998825,0.67251,1.238445,NA,5.97,0.666666667,0,1,0,0,0,0,0,0,0,0,0,0,0,"1",1
"188",0.23229,0.132675,1.722165,1.48335,0.64049,5.69,0.601286174,0,0,0,0,1,0,0,0,0,0,0,0,0,"1",1
"189",0.003915,NA,0.64554,1.61124,0.64269,5.8,0.617088608,0,0,0,0,1,0,0,0,0,0,0,0,0,"1",1
"190",0.00174,NA,1.32501,1.619505,0.67819,5.7,0.506097561,0,0,1,0,0,0,0,0,0,0,0,0,0,"1",1
"191",0.00609,NA,1.46682,1.6008,0.66453,5.84,0.594855305,0,0,0,1,0,0,0,0,0,0,0,0,0,"1",1
"192",0.0015225,0.000435,1.268895,1.56252,0.68227,5.67,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,"1",1
"193",0.0032625,NA,2.06799,2.10192,0.64745,5.61,0.521472393,0,0,0,0,0,0,0,0,0,0,0,1,0,"1",1
